instrument_name,note,frequencies
Trombone,A2,"[ 880.         1318.51022765  440.         1108.73052391 1567.98174393
  659.25511383 1479.97769085 1396.91292573 1760.          932.32752304
  466.16376152  830.60939516]"
Trombone,A2,"[ 440.          880.         1318.51022765 1108.73052391  466.16376152
  659.25511383  220.          415.30469758  932.32752304  830.60939516
 1567.98174393 1046.5022612 ]"
Trombone,A2,"[ 440.          220.          880.          466.16376152  415.30469758
  659.25511383  233.08188076 1108.73052391  207.65234879  932.32752304
  830.60939516 1318.51022765]"
Trombone,A3,"[ 880.          440.         1318.51022765 1760.          830.60939516
  932.32752304  415.30469758 1244.50793489  466.16376152 1396.91292573
 2217.46104781 2637.0204553 ]"
Trombone,A3,"[ 440.          880.         1318.51022765  466.16376152  932.32752304
  415.30469758  830.60939516 1396.91292573 1244.50793489 1760.
 1864.65504607 1661.21879032]"
Trombone,A3,"[ 440.          880.          466.16376152  415.30469758  932.32752304
  830.60939516 1318.51022765 1396.91292573 1244.50793489 1760.
 1864.65504607 1661.21879032]"
Trombone,A4,"[ 880.         1760.          830.60939516  932.32752304 1661.21879032
 1864.65504607 2637.0204553  2793.82585146 2489.01586978 3520.
 4434.92209563 3322.43758064]"
Trombone,A4,"[ 880.         1760.          830.60939516  932.32752304 1661.21879032
 1864.65504607 2637.0204553  2793.82585146 2489.01586978 3520.
 3322.43758064 3729.31009214]"
Trombone,A4,"[ 880.          830.60939516  932.32752304 1760.         1661.21879032
 1864.65504607 2637.0204553  2489.01586978 2793.82585146  987.76660251
 1046.5022612  3520.        ]"
Trombone,B1,"[ 987.76660251  880.          739.98884542 1108.73052391  830.60939516
  369.99442271 1479.97769085 1318.51022765 1396.91292573 1244.50793489
 1567.98174393 1760.        ]"
Trombone,B1,"[ 369.99442271  880.          739.98884542  123.47082531  246.94165063
  987.76660251  830.60939516  391.99543598  493.88330126  622.25396744
 1108.73052391  783.99087196]"
Trombone,B1,"[123.47082531 369.99442271 246.94165063 739.98884542 880.
 130.81278265 116.54094038 391.99543598 830.60939516 349.22823143
 622.25396744 493.88330126]"
Trombone,B2,"[1244.50793489  739.98884542  987.76660251 1479.97769085  493.88330126
 1174.65907167  783.99087196 1760.          246.94165063  698.45646287
 1567.98174393 1661.21879032]"
Trombone,B2,"[ 739.98884542 1244.50793489  987.76660251  493.88330126  246.94165063
 1174.65907167  783.99087196 1479.97769085  698.45646287 1046.5022612
  932.32752304  523.2511306 ]"
Trombone,B2,"[ 246.94165063  739.98884542  493.88330126  987.76660251  261.6255653
 1244.50793489  783.99087196  523.2511306   233.08188076  466.16376152
  698.45646287 1046.5022612 ]"
Trombone,B3,"[ 987.76660251 1479.97769085  493.88330126  932.32752304 1975.53320502
 1396.91292573 1046.5022612  1567.98174393  466.16376152 2489.01586978
  523.2511306  2349.31814334]"
Trombone,B3,"[ 987.76660251  493.88330126 1479.97769085  932.32752304  466.16376152
 1046.5022612  1396.91292573  523.2511306  1567.98174393 1975.53320502
 1864.65504607 2489.01586978]"
Trombone,B3,"[ 493.88330126  987.76660251  466.16376152  932.32752304 1479.97769085
  523.2511306  1046.5022612  1396.91292573 1567.98174393 1975.53320502
 1864.65504607 2093.0045224 ]"
Trombone,B4,"[ 987.76660251 1046.5022612  1975.53320502  932.32752304 2093.0045224
 2959.95538169 1864.65504607 3135.96348785 3951.06641005 2793.82585146
 4978.03173955 4186.00904481]"
Trombone,B4,"[ 987.76660251  932.32752304 1046.5022612  1975.53320502 1864.65504607
 2093.0045224  2959.95538169 2793.82585146 3135.96348785 3951.06641005
 3729.31009214 4186.00904481]"
Trombone,B4,"[ 987.76660251  932.32752304 1046.5022612  1975.53320502 1864.65504607
 2093.0045224  2959.95538169 2793.82585146 3135.96348785  880.
  830.60939516 1108.73052391]"
Trombone,C#2,"[ 830.60939516 1396.91292573 1108.73052391  987.76660251  415.30469758
 1244.50793489 1567.98174393  698.45646287 1479.97769085  277.18263098
  932.32752304 1661.21879032]"
Trombone,C#2,"[ 415.30469758  830.60939516  277.18263098 1108.73052391  138.59131549
  987.76660251 1244.50793489 1396.91292573  698.45646287  932.32752304
  554.36526195  440.        ]"
Trombone,C#2,"[138.59131549 415.30469758 277.18263098 830.60939516 440.
 146.83238396 293.66476792 698.45646287 554.36526195 987.76660251
 880.         130.81278265]"
Trombone,C#3,"[ 830.60939516 1108.73052391 1396.91292573  277.18263098 1661.21879032
  880.          554.36526195  783.99087196 1318.51022765 1174.65907167
 1975.53320502 1479.97769085]"
Trombone,C#3,"[ 830.60939516 1108.73052391 1396.91292573  277.18263098  554.36526195
  880.         1661.21879032  783.99087196 1174.65907167 1318.51022765
 1046.5022612   293.66476792]"
Trombone,C#3,"[ 277.18263098  830.60939516  554.36526195  293.66476792  261.6255653
  880.          783.99087196 1108.73052391  587.32953583  523.2511306
 1396.91292573 1174.65907167]"
Trombone,C#4,"[1108.73052391 1661.21879032  554.36526195 1174.65907167 2217.46104781
 1760.         1046.5022612  2793.82585146 1567.98174393  587.32953583
 3322.43758064  523.2511306 ]"
Trombone,C#4,"[1108.73052391  554.36526195 1661.21879032 1174.65907167 1046.5022612
  587.32953583  523.2511306  1760.         1567.98174393 2217.46104781
 2349.31814334 2093.0045224 ]"
Trombone,C#4,"[ 554.36526195 1108.73052391  587.32953583 1661.21879032 1174.65907167
  523.2511306  1046.5022612  1760.         1567.98174393 2217.46104781
  622.25396744 1244.50793489]"
Trombone,C2,"[ 783.99087196 1046.5022612   391.99543598 1479.97769085  932.32752304
 1318.51022765 1396.91292573 1567.98174393 1174.65907167  830.60939516
  659.25511383  880.        ]"
Trombone,C2,"[ 783.99087196  391.99543598  261.6255653   130.81278265  932.32752304
  659.25511383 1046.5022612   830.60939516  415.30469758  523.2511306
  739.98884542  880.        ]"
Trombone,C2,"[391.99543598 261.6255653  130.81278265 783.99087196 415.30469758
 659.25511383 369.99442271 523.2511306  277.18263098 138.59131549
 932.32752304 246.94165063]"
Trombone,C3,"[ 783.99087196 1318.51022765  523.2511306  1046.5022612  1567.98174393
  261.6255653  1244.50793489  830.60939516  739.98884542 2349.31814334
 1864.65504607  554.36526195]"
Trombone,C3,"[ 783.99087196  523.2511306   261.6255653  1318.51022765 1046.5022612
  830.60939516  739.98884542 1567.98174393 1244.50793489  554.36526195
  277.18263098  493.88330126]"
Trombone,C3,"[ 261.6255653   783.99087196  523.2511306   277.18263098  246.94165063
  830.60939516  554.36526195  493.88330126  739.98884542 1046.5022612
 1318.51022765 1108.73052391]"
Trombone,C4,"[1046.5022612   523.2511306  1567.98174393 2093.0045224   987.76660251
 1108.73052391  493.88330126  554.36526195 1661.21879032 1479.97769085
 2637.0204553  1975.53320502]"
Trombone,C4,"[1046.5022612   523.2511306  1567.98174393 1108.73052391  987.76660251
  554.36526195  493.88330126 1661.21879032 1479.97769085 2093.0045224
 2637.0204553  2217.46104781]"
Trombone,C4,"[ 523.2511306  1046.5022612   493.88330126  554.36526195 1567.98174393
  987.76660251 1108.73052391 1479.97769085 1661.21879032 2093.0045224
 1975.53320502 2217.46104781]"
Trombone,C5,"[1046.5022612  1108.73052391  987.76660251 2093.0045224  3135.96348785
 2217.46104781 1975.53320502 3322.43758064 4186.00904481 2959.95538169
 5274.04091061 4434.92209563]"
Trombone,C5,"[1046.5022612  1108.73052391  987.76660251 2093.0045224  2217.46104781
 1975.53320502 3135.96348785 3322.43758064 2959.95538169 1174.65907167
  932.32752304 4186.00904481]"
Trombone,C5,"[1046.5022612   987.76660251 1108.73052391 2093.0045224  1975.53320502
 2217.46104781 3135.96348785  932.32752304 2959.95538169 3322.43758064
 1174.65907167 1567.98174393]"
Trombone,D#2,"[ 783.99087196 1396.91292573  932.32752304  311.12698372 1108.73052391
 1244.50793489 1567.98174393  466.16376152  622.25396744 1046.5022612
  739.98884542  155.56349186]"
Trombone,D#2,"[ 783.99087196  932.32752304  311.12698372 1108.73052391  155.56349186
  466.16376152 1244.50793489 1396.91292573  739.98884542 1046.5022612
  622.25396744  987.76660251]"
Trombone,D#2,"[155.56349186 311.12698372 146.83238396 164.81377846 466.16376152
 329.62755691 293.66476792 783.99087196 622.25396744 493.88330126
 932.32752304 739.98884542]"
Trombone,D#3,"[ 932.32752304  311.12698372 1244.50793489  622.25396744 1567.98174393
  987.76660251  880.         1864.65504607 2489.01586978  329.62755691
 1318.51022765  293.66476792]"
Trombone,D#3,"[ 932.32752304  311.12698372  622.25396744 1244.50793489  987.76660251
  880.          293.66476792  329.62755691  587.32953583  659.25511383
 1567.98174393 1174.65907167]"
Trombone,D#3,"[ 311.12698372  932.32752304  293.66476792  622.25396744  329.62755691
 1244.50793489  880.          987.76660251  587.32953583  659.25511383
 1174.65907167 1318.51022765]"
Trombone,D#4,"[1244.50793489 1864.65504607  622.25396744 1174.65907167 1318.51022765
 2489.01586978 1760.          587.32953583 1975.53320502  659.25511383
 3135.96348785 2349.31814334]"
Trombone,D#4,"[1244.50793489  622.25396744 1174.65907167 1318.51022765  587.32953583
  659.25511383 1864.65504607 2489.01586978 1760.         1975.53320502
 2349.31814334 2637.0204553 ]"
Trombone,D#4,"[1244.50793489  622.25396744 1318.51022765 1174.65907167  659.25511383
  587.32953583 1864.65504607 1975.53320502 1760.         2489.01586978
 1396.91292573  698.45646287]"
Trombone,D2,"[ 880.          739.98884542 1318.51022765 1479.97769085 1174.65907167
  440.         1046.5022612   293.66476792 1567.98174393 1661.21879032
  987.76660251  698.45646287]"
Trombone,D2,"[ 880.          739.98884542  293.66476792  440.         1046.5022612
 1318.51022765  932.32752304  146.83238396  698.45646287 1174.65907167
 1479.97769085  987.76660251]"
Trombone,D2,"[293.66476792 146.83238396 739.98884542 440.         880.
 277.18263098 311.12698372 138.59131549 698.45646287 587.32953583
 155.56349186 415.30469758]"
Trombone,D3,"[ 880.         1174.65907167  293.66476792 1479.97769085  587.32953583
  932.32752304 1760.          830.60939516 1244.50793489  311.12698372
 2349.31814334 1396.91292573]"
Trombone,D3,"[ 880.         1174.65907167  293.66476792  587.32953583 1479.97769085
  932.32752304  830.60939516 1244.50793489 1108.73052391  311.12698372
  277.18263098 1396.91292573]"
Trombone,D3,"[ 293.66476792  880.          587.32953583  311.12698372  277.18263098
 1174.65907167  932.32752304  830.60939516  622.25396744  554.36526195
 1244.50793489 1108.73052391]"
Trombone,D4,"[1174.65907167  587.32953583 1760.         2349.31814334 1244.50793489
 1108.73052391  622.25396744 1864.65504607  554.36526195 1661.21879032
 2959.95538169 2489.01586978]"
Trombone,D4,"[1174.65907167  587.32953583 1244.50793489 1760.         1108.73052391
  622.25396744  554.36526195 1864.65504607 1661.21879032 2349.31814334
 2489.01586978 2217.46104781]"
Trombone,D4,"[ 587.32953583 1174.65907167  622.25396744 1244.50793489  554.36526195
 1108.73052391 1760.         1864.65504607 1661.21879032 2349.31814334
  659.25511383 1318.51022765]"
Trombone,E2,"[ 830.60939516 1318.51022765 1479.97769085  987.76660251 1174.65907167
 1661.21879032  329.62755691  783.99087196 1108.73052391  493.88330126
  659.25511383 1567.98174393]"
Trombone,E2,"[ 830.60939516  987.76660251  329.62755691  783.99087196  659.25511383
 1174.65907167 1318.51022765  164.81377846  493.88330126 1108.73052391
 1479.97769085  932.32752304]"
Trombone,E2,"[329.62755691 164.81377846 830.60939516 493.88330126 659.25511383
 349.22823143 987.76660251 311.12698372 174.61411572 783.99087196
 155.56349186 880.        ]"
Trombone,E3,"[1318.51022765  987.76660251 1661.21879032  329.62755691  659.25511383
 1567.98174393 1244.50793489  932.32752304 1975.53320502 1396.91292573
  311.12698372 2349.31814334]"
Trombone,E3,"[ 329.62755691  987.76660251 1318.51022765  659.25511383  349.22823143
 1046.5022612   311.12698372  932.32752304 1396.91292573 1661.21879032
 1244.50793489  698.45646287]"
Trombone,E3,"[ 329.62755691  349.22823143  987.76660251  659.25511383  311.12698372
 1318.51022765 1046.5022612   698.45646287  932.32752304  622.25396744
 1396.91292573 1244.50793489]"
Trombone,E4,"[1318.51022765 1244.50793489 1975.53320502  659.25511383 1396.91292573
 2637.0204553   622.25396744 1864.65504607 2093.0045224   698.45646287
 3322.43758064 2489.01586978]"
Trombone,E4,"[1318.51022765  659.25511383 1396.91292573 1244.50793489  698.45646287
  622.25396744 1975.53320502 2093.0045224  1864.65504607 2637.0204553
 2793.82585146 2489.01586978]"
Trombone,E4,"[1318.51022765  659.25511383 1244.50793489  622.25396744 1396.91292573
  698.45646287 1975.53320502 1864.65504607 2093.0045224  2637.0204553
 1108.73052391 1567.98174393]"
Trombone,F#2,"[ 932.32752304 1318.51022765 1108.73052391  739.98884542 1479.97769085
  369.99442271 1244.50793489 1661.21879032  880.          554.36526195
 1174.65907167 1864.65504607]"
Trombone,F#2,"[ 932.32752304  739.98884542  369.99442271 1108.73052391 1318.51022765
 1479.97769085 1244.50793489  880.          554.36526195  698.45646287
  349.22823143  184.99721136]"
Trombone,F#2,"[ 369.99442271  739.98884542  184.99721136  932.32752304  554.36526195
  391.99543598  349.22823143 1108.73052391  880.          783.99087196
  195.99771799  174.61411572]"
Trombone,F#3,"[ 739.98884542  369.99442271 1479.97769085 1108.73052391 1864.65504607
  698.45646287  783.99087196  349.22823143  391.99543598 1396.91292573
 2217.46104781 1046.5022612 ]"
Trombone,F#3,"[ 369.99442271  739.98884542 1108.73052391  391.99543598 1479.97769085
  783.99087196  349.22823143 1174.65907167  698.45646287 1567.98174393
 1046.5022612  1864.65504607]"
Trombone,F#3,"[ 369.99442271  739.98884542  349.22823143  391.99543598 1108.73052391
  698.45646287  783.99087196 1479.97769085 1174.65907167 1046.5022612
 1396.91292573 1567.98174393]"
Trombone,F#4,"[1479.97769085  739.98884542 1396.91292573 1567.98174393  698.45646287
  783.99087196 2217.46104781 2959.95538169 2349.31814334 2093.0045224
 3729.31009214 2793.82585146]"
Trombone,F#4,"[ 739.98884542 1479.97769085  783.99087196  698.45646287 1567.98174393
 1396.91292573 2217.46104781 2349.31814334 2093.0045224  2959.95538169
 3135.96348785 2793.82585146]"
Trombone,F#4,"[ 739.98884542  783.99087196 1479.97769085  698.45646287 1567.98174393
 1396.91292573 2217.46104781 2349.31814334 2093.0045224   830.60939516
  659.25511383 2959.95538169]"
Trombone,F2,"[ 880.         1567.98174393 1396.91292573 1244.50793489  349.22823143
 1046.5022612   698.45646287 1760.          523.2511306  1174.65907167
  830.60939516 1661.21879032]"
Trombone,F2,"[ 880.          349.22823143 1396.91292573 1244.50793489 1046.5022612
  698.45646287 1567.98174393  830.60939516 1174.65907167  523.2511306
  174.61411572  932.32752304]"
Trombone,F2,"[ 349.22823143  880.          174.61411572  523.2511306   698.45646287
  369.99442271 1046.5022612   830.60939516 1244.50793489  329.62755691
  932.32752304  184.99721136]"
Trombone,F3,"[1396.91292573 1046.5022612   349.22823143  698.45646287 1760.
 1479.97769085 1108.73052391 2093.0045224   369.99442271 2489.01586978
 1318.51022765  329.62755691]"
Trombone,F3,"[ 349.22823143 1046.5022612   698.45646287 1396.91292573  369.99442271
 1108.73052391  329.62755691  739.98884542 1479.97769085 1760.
  987.76660251  659.25511383]"
Trombone,F3,"[ 349.22823143  329.62755691 1046.5022612   698.45646287  369.99442271
 1396.91292573  659.25511383  987.76660251 1108.73052391 1318.51022765
  739.98884542 1479.97769085]"
Trombone,F4,"[1396.91292573  698.45646287 1318.51022765 1479.97769085 2093.0045224
  659.25511383  739.98884542 2793.82585146 1975.53320502 2217.46104781
 2637.0204553  2959.95538169]"
Trombone,F4,"[1396.91292573  698.45646287 1318.51022765 1479.97769085  659.25511383
  739.98884542 2093.0045224  2793.82585146 1975.53320502 2217.46104781
 2637.0204553  2959.95538169]"
Trombone,F4,"[ 698.45646287 1396.91292573  739.98884542  659.25511383 1479.97769085
 1318.51022765 2093.0045224  2217.46104781 1975.53320502 2793.82585146
  783.99087196 1567.98174393]"
Trombone,G#2,"[ 830.60939516  415.30469758 1244.50793489 1046.5022612  1479.97769085
 1661.21879032 1396.91292573  880.          783.99087196  987.76660251
 1318.51022765  622.25396744]"
Trombone,G#2,"[ 830.60939516  415.30469758 1046.5022612  1244.50793489  783.99087196
  391.99543598 1479.97769085  987.76660251  207.65234879  880.
  622.25396744 1396.91292573]"
Trombone,G#2,"[ 415.30469758  830.60939516  207.65234879  440.          391.99543598
 1046.5022612   622.25396744  880.          783.99087196 1244.50793489
  220.          195.99771799]"
Trombone,G#3,"[ 830.60939516 1244.50793489  415.30469758 1661.21879032  783.99087196
  880.         1318.51022765 2093.0045224   440.          391.99543598
 1174.65907167 2489.01586978]"
Trombone,G#3,"[ 830.60939516  415.30469758 1244.50793489  880.          783.99087196
  440.          391.99543598 1661.21879032 1318.51022765 1174.65907167
 2093.0045224  1760.        ]"
Trombone,G#3,"[ 415.30469758  830.60939516  391.99543598  440.          783.99087196
  880.         1244.50793489 1318.51022765 1174.65907167 1661.21879032
 1567.98174393 1760.        ]"
Trombone,G#4,"[ 830.60939516 1661.21879032  783.99087196  880.         1567.98174393
 1760.         2489.01586978 3322.43758064 2349.31814334 2637.0204553
 4186.00904481 3135.96348785]"
Trombone,G#4,"[ 830.60939516 1661.21879032  783.99087196  880.         1567.98174393
 1760.         2489.01586978 2349.31814334 2637.0204553  3322.43758064
 3135.96348785 3520.        ]"
Trombone,G#4,"[ 830.60939516  783.99087196  880.         1661.21879032 1567.98174393
 1760.         2489.01586978 2349.31814334 2637.0204553   987.76660251
  932.32752304  739.98884542]"
Trombone,G2,"[ 783.99087196  987.76660251 1174.65907167  391.99543598 1567.98174393
 1396.91292573 1318.51022765 1760.          739.98884542  932.32752304
  587.32953583  830.60939516]"
Trombone,G2,"[ 783.99087196  391.99543598  987.76660251 1174.65907167 1396.91292573
 1567.98174393 1318.51022765  587.32953583  932.32752304  830.60939516
  739.98884542  415.30469758]"
Trombone,G2,"[ 391.99543598  783.99087196  195.99771799  987.76660251  587.32953583
  415.30469758  369.99442271 1174.65907167  830.60939516  739.98884542
  932.32752304  207.65234879]"
Trombone,G3,"[ 783.99087196 1567.98174393 1174.65907167  391.99543598  830.60939516
  739.98884542 2349.31814334 1244.50793489 1661.21879032  415.30469758
 1975.53320502 1479.97769085]"
Trombone,G3,"[ 391.99543598  783.99087196 1174.65907167  369.99442271  415.30469758
  739.98884542  830.60939516 1567.98174393 1244.50793489 1108.73052391
 1479.97769085 1661.21879032]"
Trombone,G3,"[ 391.99543598  783.99087196  369.99442271  415.30469758  739.98884542
  830.60939516 1174.65907167 1108.73052391 1567.98174393 1244.50793489
 1479.97769085 1661.21879032]"
Trombone,G4,"[ 783.99087196 1567.98174393  830.60939516  739.98884542 1661.21879032
 1479.97769085 2349.31814334 2489.01586978 2217.46104781 3135.96348785
 3951.06641005 3322.43758064]"
Trombone,G4,"[ 783.99087196 1567.98174393  739.98884542  830.60939516 1479.97769085
 1661.21879032 2349.31814334 2217.46104781 2489.01586978 3135.96348785
 2959.95538169 3322.43758064]"
Trombone,G4,"[ 783.99087196  739.98884542  830.60939516 1567.98174393 1479.97769085
 1661.21879032 2349.31814334 2489.01586978 2217.46104781  698.45646287
  880.          932.32752304]"
Accordion,A#1,"[ 116.54094038  233.08188076  123.47082531  110.         1318.51022765
 1396.91292573 1244.50793489  830.60939516  698.45646287  587.32953583
 1479.97769085 1567.98174393]"
Accordion,A#1,"[ 116.54094038  110.          123.47082531  830.60939516  698.45646287
  233.08188076  587.32953583  783.99087196 1318.51022765 1244.50793489
 1174.65907167  739.98884542]"
Accordion,A#1,"[116.54094038 110.         123.47082531 830.60939516 233.08188076
 783.99087196 698.45646287 587.32953583 246.94165063 220.
 739.98884542 880.        ]"
Accordion,A#1,"[ 116.54094038  123.47082531  110.          830.60939516  698.45646287
  783.99087196  587.32953583  233.08188076 1174.65907167 1318.51022765
  739.98884542 1244.50793489]"
Accordion,A#2,"[ 698.45646287  233.08188076  659.25511383  739.98884542 1396.91292573
  466.16376152 1174.65907167 1661.21879032  246.94165063 1318.51022765
  220.         1108.73052391]"
Accordion,A#2,"[ 698.45646287  659.25511383  466.16376152 1174.65907167 1396.91292573
  739.98884542 1108.73052391  233.08188076  440.          493.88330126
 1318.51022765 1479.97769085]"
Accordion,A#2,"[ 233.08188076  698.45646287  246.94165063  220.          739.98884542
  466.16376152  659.25511383  493.88330126 2793.82585146 1661.21879032
  440.         2637.0204553 ]"
Accordion,A#2,"[ 698.45646287  739.98884542  233.08188076  659.25511383 1174.65907167
  466.16376152 1396.91292573 1661.21879032  246.94165063 1108.73052391
  220.         1567.98174393]"
Accordion,A#2,"[ 233.08188076  698.45646287  466.16376152  246.94165063  739.98884542
  220.          659.25511383  493.88330126  440.         1661.21879032
 1174.65907167  932.32752304]"
Accordion,A#2,"[ 698.45646287  233.08188076  739.98884542  659.25511383 1174.65907167
  466.16376152 1396.91292573  246.94165063  220.         1108.73052391
 1244.50793489  493.88330126]"
Accordion,A#2,"[ 233.08188076  698.45646287 1174.65907167  246.94165063  220.
  739.98884542  659.25511383 1108.73052391 1244.50793489 1661.21879032
 1396.91292573  466.16376152]"
Accordion,A#2,"[ 233.08188076  698.45646287  739.98884542 1174.65907167  246.94165063
  220.          659.25511383 1108.73052391 1244.50793489 1396.91292573
 1661.21879032 1567.98174393]"
Accordion,A#3,"[ 466.16376152  493.88330126  440.          932.32752304 1396.91292573
 2349.31814334 2793.82585146 2217.46104781 1479.97769085 3729.31009214
  987.76660251  880.        ]"
Accordion,A#3,"[1396.91292573 1479.97769085  466.16376152 1318.51022765  932.32752304
  493.88330126  987.76660251  440.          880.         1864.65504607
 2349.31814334 3322.43758064]"
Accordion,A#3,"[1396.91292573  466.16376152 1479.97769085  493.88330126 1318.51022765
  932.32752304  440.          987.76660251  880.         2349.31814334
 4186.00904481 1864.65504607]"
Accordion,A#3,"[ 466.16376152  493.88330126  440.         1864.65504607 1396.91292573
  932.32752304 1975.53320502 1479.97769085 1760.         2349.31814334
 1318.51022765 3322.43758064]"
Accordion,A#3,"[ 466.16376152 1396.91292573  493.88330126 1479.97769085  440.
 1318.51022765 1864.65504607  932.32752304 1975.53320502 2349.31814334
  987.76660251 1760.        ]"
Accordion,A#3,"[ 466.16376152  932.32752304  493.88330126  440.          987.76660251
  880.         3322.43758064 2349.31814334 1864.65504607 3135.96348785
   97.998859   1396.91292573]"
Accordion,A#3,"[ 466.16376152  493.88330126  440.         1396.91292573 2349.31814334
 2793.82585146 1479.97769085 2217.46104781 4186.00904481 2489.01586978
 1318.51022765  932.32752304]"
Accordion,A#3,"[ 466.16376152  493.88330126 1396.91292573  440.         1479.97769085
 1318.51022765  932.32752304 4186.00904481 1864.65504607  987.76660251
 3322.43758064 4434.92209563]"
Accordion,A#3,"[ 466.16376152  493.88330126 1396.91292573  440.         1479.97769085
 1318.51022765   97.998859     92.49860568  110.          932.32752304
 3729.31009214  116.54094038]"
Accordion,A#3,"[ 466.16376152  493.88330126  440.           97.998859   1396.91292573
 2793.82585146  116.54094038   92.49860568  110.         1479.97769085
 3729.31009214  103.82617439]"
Accordion,A#3,"[ 466.16376152  493.88330126  440.         1396.91292573 1479.97769085
 1864.65504607 1318.51022765  116.54094038   97.998859    110.
 1975.53320502   92.49860568]"
Accordion,A#4,"[2793.82585146 2959.95538169 2637.0204553   932.32752304 1864.65504607
  987.76660251  880.         1975.53320502 1760.         4698.63628668
 3729.31009214 6644.87516128]"
Accordion,A#4,"[ 932.32752304 1864.65504607  987.76660251  880.         1975.53320502
 1760.         4698.63628668 2793.82585146 4434.92209563 2959.95538169
 4978.03173955 2637.0204553 ]"
Accordion,A#4,"[ 932.32752304  987.76660251 1864.65504607  880.         4698.63628668
 2793.82585146 1975.53320502 4434.92209563 1760.         3729.31009214
 4978.03173955 2959.95538169]"
Accordion,A#4,"[ 932.32752304  987.76660251  880.         2793.82585146 2959.95538169
 1864.65504607 3729.31009214 2637.0204553  4698.63628668   97.998859
 1975.53320502 3951.06641005]"
Accordion,A#4,"[ 932.32752304  987.76660251  880.         2793.82585146 1864.65504607
 4698.63628668 2959.95538169 1975.53320502 2637.0204553  4434.92209563
   97.998859   1760.        ]"
Accordion,A#4,"[ 932.32752304  987.76660251  880.          110.         2793.82585146
  116.54094038   97.998859    103.82617439   92.49860568 1864.65504607
 2959.95538169 2637.0204553 ]"
Accordion,A#4,"[2793.82585146  932.32752304 2959.95538169  987.76660251 2637.0204553
  880.         3729.31009214 3951.06641005 1864.65504607 3520.
 4698.63628668 1975.53320502]"
Accordion,A#4,"[ 932.32752304  987.76660251  880.         2793.82585146 4698.63628668
 1864.65504607 2959.95538169 2637.0204553  4434.92209563 4978.03173955
 1975.53320502 3729.31009214]"
Accordion,A#4,"[ 932.32752304  987.76660251  880.         2793.82585146 3729.31009214
  116.54094038   97.998859    110.         2959.95538169 4698.63628668
 2637.0204553    69.29565774]"
Accordion,A#4,"[ 932.32752304 2793.82585146  987.76660251  880.         2959.95538169
   97.998859   3729.31009214 2637.0204553   110.           92.49860568
  116.54094038  103.82617439]"
Accordion,A#4,"[ 932.32752304  987.76660251  880.         2793.82585146  116.54094038
 3729.31009214 2959.95538169  110.           97.998859   2637.0204553
 1864.65504607 3951.06641005]"
Accordion,A#5,"[1864.65504607 1975.53320502 1760.         5587.65170293 5919.91076339
 5274.04091061 3729.31009214 7458.62018429 3951.06641005 2093.0045224
 7902.1328201  3520.        ]"
Accordion,A#5,"[1864.65504607 1975.53320502 1760.         5587.65170293 3729.31009214
 5919.91076339 5274.04091061 3951.06641005 3520.         7458.62018429
 2093.0045224  7902.1328201 ]"
